block,total,white-alone,black-alone,native-am-alone,asian-alone,other
3385,1433,1307,10,0,84,7
3385,1439,1343,3,0,76,0
3385,1394,1334,2,0,39,3
3385,1350,1179,20,4,114,2
3391,617,578,6,0,19,5
3391,1460,1310,69,7,27,26
3391,1169,955,64,16,77,18
3391,1797,1594,83,2,79,19
3391,1399,1314,22,0,45,1
3392,757,725,17,0,10,2
3392,832,768,30,0,15,7
3392,989,908,25,2,23,7
3392,1449,1341,18,0,70,6
3392,909,840,15,1,26,2
3392,894,824,15,0,24,8
3393,679,494,117,6,16,17
3393,914,446,340,2,55,14
3393,1297,697,442,3,43,33
3394,1033,832,111,5,41,20
3394,626,540,20,2,25,21
3394,785,660,30,0,39,28
3394,882,762,44,0,51,11
3395,2710,2196,90,0,284,37
3395,1312,1006,120,5,56,74
3395,641,507,79,1,34,4
3395,736,646,34,2,35,4
3396,797,664,34,0,50,29
3396,813,690,43,1,53,13
3396,757,607,52,0,69,4
3396,827,639,81,1,29,42
3396,885,620,118,3,73,55
3396,945,645,157,7,27,72
3397,552,446,24,2,33,18
3397,1678,959,381,1,173,90
3397,785,648,64,3,29,28
3397,863,628,98,1,45,61
3398,2101,1381,103,9,551,26
3398,617,389,46,2,136,35
3398,808,492,59,0,148,85
3398,884,623,91,0,111,42
3398,1308,973,76,2,197,24
3398,2498,1496,560,16,221,118
3398,751,575,81,1,66,11
3399,1651,1322,117,2,82,82
3399,950,767,75,0,31,39
3399,939,788,77,5,36,14
3399,759,517,103,0,44,84
3399,872,699,65,2,43,44
3400,1033,670,201,3,48,71
3400,848,669,81,0,41,28
3400,713,540,61,1,38,39
3401,760,667,20,1,51,8
3401,1047,935,24,2,61,19
3401,1611,1408,49,3,101,15
3401,1483,1182,114,1,109,27
3401,925,856,37,1,24,2
3401,826,695,56,0,51,8
3411,1574,909,154,2,442,34
3411,768,374,85,0,290,11
3411,1333,1008,77,0,176,22
3411,1346,651,131,1,473,52
3411,780,503,74,0,181,12
3411,1063,540,146,1,297,45
3411,557,379,51,1,110,8
3411,818,648,56,0,82,9
3412,1164,517,71,0,511,42
3412,976,509,119,1,266,51
3412,1070,564,230,0,180,60
3412,978,647,114,0,127,68
3412,1693,1031,138,3,400,85
3412,976,499,128,1,270,51
3413,2158,1021,345,0,679,62
3413,922,410,115,3,338,19
3413,2359,866,240,7,1083,64
3414,1085,521,204,6,253,65
3414,944,442,232,1,178,63
3414,1802,1042,332,3,234,109
3414,1612,955,262,3,164,173
3414,769,499,112,1,77,31
3415,958,509,206,4,154,33
3415,749,360,149,6,164,60
3415,1070,490,213,0,220,117
3415,775,315,243,0,98,94
3415,1228,488,313,3,277,119
3416,739,524,94,0,87,21
3416,994,823,84,1,55,9
3416,1175,793,168,0,154,26
3416,1236,563,257,7,250,49
3416,862,445,148,1,214,35
3416,1558,834,173,5,434,72
3417,875,618,107,2,67,39
3417,1332,911,251,5,79,41
3417,1182,859,184,0,106,17
3417,1239,883,174,0,131,24
3417,670,471,88,0,73,8
3418,1080,676,191,0,72,87
3418,1447,709,423,5,151,79
3418,677,386,130,1,111,24
3418,810,443,116,3,137,62
3418,1456,606,259,2,457,83
3418,1084,608,194,0,128,128
3419,674,447,114,0,65,30
3419,713,485,58,0,105,29
3419,1629,984,187,2,276,136
3419,845,626,102,0,58,39
3419,1082,697,147,5,210,16
3419,824,462,97,7,191,52
3419,1517,1056,174,3,150,71
3419,2223,1085,336,8,486,208
3421,1483,970,157,9,39,247
3421,1067,717,175,0,43,106
3421,964,659,135,5,48,80
3421,943,637,142,8,48,79
3421,910,624,129,2,20,97
3421,938,637,114,9,28,116
3421,966,712,141,9,33,47
3421,1252,716,291,7,59,112
3422,2830,1748,503,15,91,327
3422,2438,1534,482,13,93,265
3422,2517,1538,379,10,173,322
3422,1316,984,143,3,70,86
3423,1327,904,148,3,50,171
3423,1555,929,187,8,68,296
3423,2137,1357,298,4,60,331
3423,1807,1122,243,2,98,266
3424,1878,1137,253,4,114,278
3424,1132,700,127,0,62,193
3424,905,572,116,6,101,94
3424,1348,754,127,5,89,298
3424,792,526,137,4,25,60
3425,2428,1469,311,9,117,424
3425,2169,1419,337,5,85,245
3425,2200,1277,318,6,135,374
3426,1125,616,165,12,52,220
3426,904,513,80,3,53,234
3426,2336,1406,324,1,151,389
3501,0,0,0,0,0,0
3501,1210,948,88,0,63,77
3501,2119,1063,251,9,204,457
3501,2584,1199,615,6,182,460
3501,1188,766,120,5,85,184
3501,1384,954,127,10,115,133
3502,1376,1065,125,0,64,48
3502,603,354,62,0,41,112
3502,1385,808,135,5,184,192
3502,1410,998,112,3,140,85
3502,749,439,87,4,46,135
3502,1044,778,61,1,74,84
3503,965,732,72,4,37,86
3503,627,455,48,2,99,9
3503,849,634,71,1,47,65
3504,1006,897,25,3,50,7
3504,1232,1070,36,2,80,14
3504,1017,876,33,1,68,7
3504,1464,1309,27,0,79,13
3504,849,756,10,1,55,7
3505,818,725,22,1,46,5
3505,811,732,13,1,40,2
3506,1656,1175,60,1,309,19
3506,939,804,23,1,86,13
3506,813,686,17,0,78,9
3506,1164,1038,13,4,75,8
3507,907,835,26,1,25,6
3507,974,493,215,1,60,158
3507,1007,907,30,0,36,16
3507,1375,790,379,2,85,33
3507,861,745,16,0,69,14
3507,924,809,16,1,59,14
3508,971,778,89,0,69,7
3508,857,704,62,1,54,12
3509,803,708,7,2,59,7
3509,1209,1069,22,4,78,3
3509,1302,1121,37,0,98,9
3510,1236,1031,57,0,84,24
3510,636,567,8,3,45,0
3510,691,514,24,2,129,7
3510,1813,1495,36,2,203,28
3510,1056,860,41,8,113,19
3510,1018,864,14,0,107,20
3511,1601,1240,116,1,143,65
3511,912,750,48,4,75,13
3511,1241,1014,57,0,117,26
3511,722,614,26,0,55,6
3511,1146,1018,38,0,50,18
3512,974,806,26,1,100,15
3512,1101,840,55,1,130,21
3512,1047,899,29,5,74,20
3512,1119,832,32,4,192,16
3512,1233,893,93,2,131,74
3512,1715,1137,116,6,218,164
3512,1181,927,47,2,154,8
3513,1898,1414,115,2,163,118
3513,1441,1143,105,5,68,61
3513,894,691,34,16,59,49
3514,763,452,50,3,119,107
3514,1017,583,67,3,53,265
3514,587,377,66,7,43,80
3514,1042,516,94,13,66,303
3514,619,372,60,1,67,86
3514,1147,686,53,10,196,136
3514,1335,745,153,9,120,238
3514,1026,604,69,4,117,171
3514,781,399,68,0,109,170
3515,468,386,13,1,38,6
3515,1842,1105,199,6,229,206
3521,181,106,11,1,52,3
3521,1473,967,96,0,321,42
3521,1165,889,42,0,181,11
3521,1112,856,51,3,141,37
3522,1849,1251,190,7,259,83
3523,1884,1381,115,6,244,49
3523,1566,944,141,2,398,23
3524,259,178,18,0,45,13
3524,1867,523,858,5,220,134
3525,1400,794,337,1,134,47
3525,1494,916,269,7,171,57
3526,1274,869,139,0,128,80
3526,1104,755,138,4,119,42
3527,676,507,40,4,65,21
3527,1061,501,395,1,47,62
3527,320,250,18,0,26,16
3528,345,242,44,0,53,0
3528,1770,1266,186,5,113,112
3529,978,719,107,0,103,26
3529,1668,1422,38,3,148,20
3530,85,49,26,0,2,6
3530,625,390,124,0,61,14
3530,851,459,165,3,164,29
3530,2023,1438,113,2,331,48
3531,1379,885,124,6,250,32
3531,1081,567,255,3,129,57
3531,2488,1102,175,8,1001,53
3531,1409,833,42,4,436,20
3531,1143,566,72,1,407,19
3532,2900,1582,287,1,859,50
3532,1032,742,133,2,89,17
3532,965,741,69,4,108,18
3533,998,786,78,2,78,11
3533,1515,1110,197,3,102,41
3533,958,815,19,1,78,5
3534,1226,676,299,7,126,52
3534,1622,760,526,11,196,29
3535,1108,769,120,5,163,11
3535,1494,866,405,2,119,30
3536,522,423,17,0,53,8
3536,944,738,70,3,90,11
3536,668,561,35,0,38,9
3536,668,529,23,0,74,6
3536,1749,1222,97,5,336,14
3537,1039,881,49,2,69,19
3537,1141,865,41,1,191,13
3537,1460,906,76,1,323,20
3537,873,552,34,1,233,14
3537,852,541,42,3,191,17
3538,722,570,21,0,92,4
3538,1332,996,79,1,204,16
3538,1829,1373,110,0,271,19
3538,819,570,37,0,190,9
3539,2212,1466,165,4,425,21
3539,2507,1213,170,7,974,39
3539,2371,1510,188,0,495,28
3540,954,827,16,3,77,5
3540,2185,1637,96,7,346,17
3540,1227,918,42,3,212,14
3541,371,320,6,0,26,3
3541,586,523,13,0,37,6
3541,1036,872,42,1,85,4
3541,914,722,43,1,110,10
3542,1219,1099,23,1,43,12
3542,999,893,23,2,47,4
3542,689,628,8,4,34,5
3543,1397,757,383,8,105,61
3543,828,648,50,2,90,13
3543,1121,943,54,2,82,16
3544,812,685,52,9,28,6
3544,835,697,40,2,56,7
3545,874,731,31,2,84,5
3545,880,744,28,0,81,7
3545,482,406,18,1,47,3
3546,2116,1047,695,3,259,23
3546,737,589,67,2,43,6
3546,853,454,271,4,68,14
3546,832,612,65,1,120,18
3547,1258,1002,66,4,124,12
3547,1251,1011,86,3,96,14
3548,911,765,24,0,72,17
3548,992,833,60,2,64,5
3549,1126,853,103,2,98,14
3549,3201,409,1603,15,835,174
3549,1731,1065,210,16,313,26
3550,671,507,40,2,98,5
3550,1183,859,175,0,76,12
3550,835,562,104,0,107,16
3561,795,700,11,0,59,6
3561,1460,1271,14,4,99,11
3561,855,775,7,0,45,6
3563,1239,835,167,1,156,43
3563,969,727,53,0,148,19
3563,721,636,17,0,49,0
3563,640,568,12,0,42,5
3563,776,652,17,1,66,11
3563,695,587,22,1,66,5
3564,653,587,8,0,41,6
3564,1176,1032,14,2,84,7
3564,926,832,12,0,58,6
3564,652,612,5,0,25,5
3564,720,680,2,1,24,6
3564,1234,1115,22,2,57,4
3564,748,638,16,0,76,4
3564,1138,1015,17,6,84,1
3565,838,750,5,1,46,5
3565,1120,961,29,1,89,23
3565,1670,1432,42,0,132,18
3565,793,663,19,1,76,14
3565,1189,999,17,0,114,21
3565,970,847,10,1,80,15
3566,1701,1293,98,1,245,21
3566,1096,971,9,4,59,7
3566,670,614,2,1,41,0
3566,749,688,9,0,39,6
